"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1209","Check displaying of empty courses list","LMS system","Fri Aug 15 14:36:11 GMT 2025","broken","Fri Aug 15 14:36:12 GMT 2025","Courses","Courses","",""
"","1957","Create course","LMS system","Fri Aug 15 14:36:12 GMT 2025","broken","Fri Aug 15 14:36:14 GMT 2025","Courses","Courses","",""
"","0","test_logout","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","TestUserAuthentication","test_markers","",""
"","1468","User login with wrong email or password","LMS system","Fri Aug 15 14:36:01 GMT 2025","broken","Fri Aug 15 14:36:02 GMT 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","TestUserInterface","test_markers","",""
"","1465","Check displaying of dashboard page","LMS system","Fri Aug 15 14:36:17 GMT 2025","broken","Fri Aug 15 14:36:19 GMT 2025","Dashboard","Dashboard","",""
"","1238","User login with wrong email or password","LMS system","Fri Aug 15 14:36:03 GMT 2025","broken","Fri Aug 15 14:36:04 GMT 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","","test_markers","",""
"","1115","Navigation from login page to registration page","LMS system","Fri Aug 15 14:36:06 GMT 2025","broken","Fri Aug 15 14:36:08 GMT 2025","Authorization","Authentication","",""
"","1334","Registration with correct email, username and password","LMS system","Fri Aug 15 14:36:08 GMT 2025","broken","Fri Aug 15 14:36:09 GMT 2025","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","TestUserAuthentication","test_markers","",""
"","2168","User login with correct email and password","LMS system","Fri Aug 15 14:36:04 GMT 2025","broken","Fri Aug 15 14:36:06 GMT 2025","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","TestUserAuthentication","test_markers","",""
"","1618","User login with wrong email or password","LMS system","Fri Aug 15 14:35:59 GMT 2025","broken","Fri Aug 15 14:36:01 GMT 2025","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Aug 15 14:36:19 GMT 2025","passed","Fri Aug 15 14:36:19 GMT 2025","","test_markers","",""
"","2500","Edit course","LMS system","Fri Aug 15 14:36:14 GMT 2025","broken","Fri Aug 15 14:36:17 GMT 2025","Courses","Courses","",""
